,Threshold,Sensitivity,Specificity,Accuracy,Precision,F1,PPV,NPV,TP,TN,FP,FN
NORM,0.3849,0.9086,0.7531,0.8225,0.7479,0.8204,0.7479,0.9109,875,900,295,88
MI,0.3362,0.7145,0.7966,0.7757,0.5458,0.6189,0.5458,0.8908,393,1281,327,157
STTC,0.3943,0.7466,0.9035,0.8656,0.7112,0.7285,0.7112,0.9181,389,1479,158,132
CD,0.3908,0.6008,0.923,0.8489,0.6995,0.6464,0.6995,0.8857,298,1534,128,198
HYP,0.2682,0.5229,0.8877,0.8434,0.3914,0.4477,0.3914,0.9309,137,1683,213,125
Macro (mean),,0.6987,0.8528,0.8312,0.6192,0.6524,0.6192,0.9073,2092,6877,1121,700
