,Threshold,Sensitivity,Specificity,Accuracy,Precision,F1,PPV,NPV,TP,TN,FP,FN
NORM,0.3286,0.919,0.718,0.8077,0.7242,0.8101,0.7242,0.9167,885,858,337,78
MI,0.2888,0.6964,0.7886,0.7651,0.5297,0.6017,0.5297,0.8836,383,1268,340,167
STTC,0.3169,0.7985,0.8601,0.8452,0.645,0.7136,0.645,0.9306,416,1408,229,105
CD,0.3468,0.5907,0.9242,0.8475,0.6993,0.6404,0.6993,0.8833,293,1536,126,203
HYP,0.2166,0.5496,0.8908,0.8494,0.4103,0.4698,0.4103,0.9347,144,1689,207,118
Macro (mean),,0.7108,0.8363,0.823,0.6017,0.6471,0.6017,0.9098,2121,6759,1239,671
